datetime,measured_surface,measured_surface_total_mean
2023-07-04 14:23:55,-4358074.233626191,-375.7499469561812
2023-07-04 14:24:16,-4354907.291279221,-375.4337948918426
2023-07-04 14:24:37,-4359100.424947547,-375.636306004069
2023-07-04 14:24:59,-4342664.231438492,-375.8497247120191
2023-07-04 14:25:20,-4349467.300526191,-375.7483873083438
2023-07-04 14:25:40,-4350476.49067381,-375.7643532994041
2023-07-04 14:26:01,-4345544.643088095,-375.4193842381635
2023-07-04 14:26:22,-4340069.417926985,-375.61278965217394
2023-07-04 14:26:44,-4343816.050974458,-375.65094939842766
2023-07-04 14:27:05,-4337802.582436508,-375.6126556394895
2023-07-04 14:27:25,-4356735.978554762,-375.815599677616
2023-07-04 14:27:47,-4354994.640442064,-375.5608814885662
2023-07-04 14:28:07,-4365127.948844445,-375.4890384047268
2023-07-04 14:28:29,-4350842.178547619,-375.76916737619456
2023-07-04 14:28:50,-4348164.43389127,-375.689050837112
2023-07-04 14:29:10,-4359600.761816666,-375.7079667000828
2023-07-04 14:29:31,-4356210.680639286,-375.83952966027874
2023-07-04 14:29:51,-4352406.281618616,-375.78662703597246
2023-07-04 14:30:12,-4341259.60499513,-375.74035816681146
2023-07-04 14:30:33,-4360314.073484127,-375.9492754506662
2023-07-04 14:30:54,-4356523.388976587,-375.7260477829079
2023-07-04 14:31:15,-4361950.814652381,-375.996905494314
2023-07-04 14:31:35,-4357442.203523809,-375.9018232012899
2023-07-04 14:31:56,-4374336.594851587,-375.66819479615367
2023-07-04 14:32:17,-4357392.992110318,-375.4881162236003
2023-07-04 14:32:38,-4365429.252170239,-375.5555532831469
2023-07-04 14:32:58,-4346444.229017461,-375.43666298342544
2023-07-04 14:33:19,-4339763.054315477,-375.33306235324807
2023-07-04 14:33:40,-4348654.025875794,-375.291388201464
2023-07-04 14:34:01,-4352392.818996032,-375.5993528667423
2023-07-04 14:34:21,-4346874.37560635,-375.51999934668993
2023-07-04 14:34:42,-4351657.578422619,-375.58459687092574
2023-07-04 14:35:03,-4340797.189116666,-375.5763334638476
