                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0237,                0.59474,                 1.1154,                0.99747,                0.94915,                0.95163,                0.62825,                 1.2329,                0.60627,                  1.204,               0.006634,               0.006634,               0.006634
                     36,                 1.0095,                 0.5743,                 1.0978,                0.99789,                0.94915,                0.94728,                0.65782,                 1.1588,                0.59383,                 1.1626,               0.006535,               0.006535,               0.006535
                     37,                0.96714,                 0.5612,                 1.0844,                0.98228,                0.94915,                0.94825,                0.63343,                 1.2152,                0.61472,                 1.2041,               0.006436,               0.006436,               0.006436
                     38,                0.97292,                0.55995,                  1.082,                      1,                0.94691,                0.95114,                 0.6502,                 1.1362,                0.57837,                 1.1667,               0.006337,               0.006337,               0.006337
                     39,                0.96466,                0.56306,                 1.0933,                      1,                0.94689,                0.95001,                0.66904,                 1.0871,                 0.5297,                 1.1279,               0.006238,               0.006238,               0.006238
                     40,                0.96623,                0.55089,                 1.0777,                      1,                0.94709,                0.95965,                0.61804,                 1.3147,                 0.5802,                 1.2264,               0.006139,               0.006139,               0.006139
                     41,                0.93335,                 0.5277,                 1.0648,                      1,                0.94805,                 0.9568,                0.68155,                 1.1073,                0.55662,                 1.1337,                0.00604,                0.00604,                0.00604
                     42,                  0.977,                0.56375,                 1.0904,                      1,                0.94765,                0.95962,                0.67191,                 1.1158,                 0.5511,                  1.129,               0.005941,               0.005941,               0.005941
                     43,                0.95021,                0.56686,                 1.0813,                0.99893,                 0.9322,                0.96202,                0.64035,                 1.2207,                0.56806,                 1.1897,               0.005842,               0.005842,               0.005842
                     44,                0.91279,                0.52739,                  1.066,                0.99615,                 0.9322,                0.94704,                0.62676,                 1.2252,                0.58181,                 1.1914,               0.005743,               0.005743,               0.005743
                     45,                0.91259,                 0.5264,                 1.0548,                      1,                0.94818,                 0.9549,                0.66516,                 1.1043,                0.51698,                 1.1378,               0.005644,               0.005644,               0.005644
                     46,                0.89487,                0.52081,                 1.0673,                0.99702,                0.94915,                0.95265,                  0.704,                 1.0394,                 0.5067,                 1.1178,               0.005545,               0.005545,               0.005545
                     47,                0.89855,                0.51742,                 1.0473,                0.99966,                 0.9322,                0.95254,                0.71542,                 1.0367,                0.48717,                 1.1114,               0.005446,               0.005446,               0.005446
                     48,                0.85696,                  0.479,                 1.0176,                0.99776,                0.91525,                0.95046,                0.65862,                 1.1544,                 0.5236,                 1.1599,               0.005347,               0.005347,               0.005347
                     49,                0.86247,                 0.5234,                 1.0375,                      1,                0.94723,                0.95383,                0.65741,                 1.1656,                0.58242,                 1.1965,               0.005248,               0.005248,               0.005248
                     50,                0.86445,                0.50618,                   1.03,                      1,                0.93054,                0.95217,                0.66774,                 1.1076,                0.49394,                 1.1705,               0.005149,               0.005149,               0.005149
                     51,                0.86062,                0.52393,                 1.0319,                0.99264,                0.94915,                 0.9496,                0.66038,                 1.1667,                0.52562,                 1.1744,                0.00505,                0.00505,                0.00505
                     52,                0.84308,                0.50001,                 1.0292,                0.99619,                 0.9322,                   0.95,                0.68112,                 1.1045,                0.53894,                 1.1672,               0.004951,               0.004951,               0.004951
                     53,                0.84441,                0.49524,                 1.0362,                0.99847,                 0.9322,                0.95092,                0.64483,                 1.2318,                0.57061,                 1.2064,               0.004852,               0.004852,               0.004852
                     54,                0.85628,                0.50014,                 1.0219,                      1,                0.94754,                0.95865,                0.59697,                 1.4141,                0.55323,                 1.3067,               0.004753,               0.004753,               0.004753
                     55,                0.85843,                0.48994,                 1.0302,                      1,                0.94744,                0.95489,                0.66684,                 1.1321,                0.49675,                 1.1639,               0.004654,               0.004654,               0.004654
                     56,                0.82141,                0.48119,                 1.0086,                0.99839,                 0.9322,                0.95689,                0.68036,                 1.1291,                0.52354,                 1.1593,               0.004555,               0.004555,               0.004555
                     57,                 0.7969,                 0.4581,                0.99276,                      1,                0.94787,                0.96444,                0.69361,                  1.065,                0.48543,                 1.1229,               0.004456,               0.004456,               0.004456
