datetime,measured_surface,measured_surface_total_mean
2023-07-04 14:20:07,-2930610.193111905,-373.934656555773
2023-07-04 14:20:28,-2923014.759781746,-374.0834942633638
2023-07-04 14:20:48,-2925554.815352381,-373.9454256037393
2023-07-04 14:21:09,-2927795.0138,-373.9570330680127
2023-07-04 14:21:29,-2918298.4016714287,-373.4689688168558
2023-07-04 14:21:50,-2924887.679490476,-373.9292036470205
2023-07-04 14:22:11,-2918083.8727916665,-374.1016789947535
2023-07-04 14:22:32,-2919727.2868761905,-374.0625359621246
2023-07-04 14:22:52,-2924210.1824547616,-373.77988823185393
2023-07-04 14:23:14,-2920488.2904642858,-373.58747828623285
2023-07-04 14:23:35,-2921804.818644048,-373.4093642174586
2023-07-04 14:23:55,-2925069.5069,-374.1409398917792
2023-07-04 14:24:16,-2928882.577278572,-373.7150180734599
2023-07-04 14:24:37,-2921764.7084595235,-373.7398203460388
2023-07-04 14:24:59,-2922754.301073809,-374.007046810166
2023-07-04 14:25:20,-2911857.1525047617,-373.8050421306244
2023-07-04 14:25:40,-2922433.862283333,-374.0977155604768
2023-07-04 14:26:01,-2922614.9919333337,-373.42142652098016
2023-07-04 14:26:22,-2921866.171713095,-373.5141389051237
2023-07-04 14:26:44,-2931599.493311905,-373.8222379832811
2023-07-04 14:27:05,-2929774.966828572,-373.4786136408051
2023-07-04 14:27:25,-2924658.5821416667,-373.8826664497234
2023-07-04 14:27:47,-2923429.419469048,-373.56353912028027
2023-07-04 14:28:07,-2931438.811352381,-373.76593048440446
2023-07-04 14:28:29,-2933632.029321429,-373.8510136675735
2023-07-04 14:28:50,-2930465.0476357145,-373.8540300512754
2023-07-04 14:29:10,-2926186.548233333,-373.8015603075134
2023-07-04 14:29:31,-2927711.3426976195,-373.75418162406993
2023-07-04 14:29:51,-2917986.651704762,-373.2692855392157
2023-07-04 14:30:12,-2919222.7261738097,-373.70061701714656
2023-07-04 14:30:33,-2921070.827354762,-374.1119068589244
2023-07-04 14:30:54,-2926335.18807619,-374.03282878363416
2023-07-04 14:31:15,-2922498.5874142856,-373.9972513601036
2023-07-04 14:31:35,-2927509.5405309526,-374.065100110872
2023-07-04 14:31:56,-2916779.1241666665,-373.7674507627394
2023-07-04 14:32:17,-2923755.4575166665,-374.0266056456846
2023-07-04 14:32:38,-2928368.58215,-373.7104936208795
2023-07-04 14:32:58,-2925950.9818333336,-373.7714175531914
2023-07-04 14:33:19,-2918228.53402619,-373.75860407899
2023-07-04 14:33:40,-2935011.9145261906,-374.0473922410987
2023-07-04 14:34:01,-2925463.743333333,-373.7178544865565
2023-07-04 14:34:21,-2934556.2120000003,-374.0363567353818
2023-07-04 14:34:42,-2924524.8737333333,-374.0484550809061
2023-07-04 14:35:03,-2931795.304638095,-374.0210101036269
2023-07-04 14:35:25,-2932311.954892857,-374.2687641601246
2023-07-04 14:35:46,-2931449.602028571,-374.1599613095238
2023-07-04 14:36:07,-2923035.9753666664,-373.9425254050551
2023-07-04 14:36:28,-2924594.947083333,-374.1352602199224
2023-07-04 14:36:49,-2923115.3954000003,-373.7783495183293
2023-07-04 14:37:10,-2927831.9106880957,-374.16410602628
2023-07-04 14:37:31,-2931866.7622,-374.1634946215656
2023-07-04 14:37:51,-2925692.006071429,-374.0770965020443
2023-07-04 14:38:12,-2927541.884738095,-374.22149404222256
2023-07-04 14:38:32,-2921552.9893666664,-374.0943115352048
2023-07-04 14:38:53,-2927841.1025011903,-374.3792695900363
2023-07-04 14:39:13,-2933087.89745,-374.13545475171793
2023-07-04 14:39:34,-2923436.82895,-373.9681460333828
