                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.25,                0.77553,                 1.2395,                0.99907,                0.94915,                0.95533,                0.57284,                  1.407,                0.63113,                 1.3203,               0.006634,               0.006634,               0.006634
                     36,                 1.2164,                0.76448,                  1.211,                0.99623,                0.94915,                0.95426,                0.57078,                 1.4474,                 0.6334,                 1.3193,               0.006535,               0.006535,               0.006535
                     37,                 1.2379,                0.76527,                  1.242,                0.97848,                0.94915,                0.95529,                0.57505,                  1.421,                0.68439,                 1.2998,               0.006436,               0.006436,               0.006436
                     38,                 1.1811,                0.70894,                   1.21,                0.99846,                0.94915,                0.95328,                0.64575,                 1.2394,                0.59698,                 1.2749,               0.006337,               0.006337,               0.006337
                     39,                 1.2072,                0.72463,                 1.2091,                0.99817,                 0.9322,                0.95953,                 0.6572,                 1.2241,                0.65056,                 1.2548,               0.006238,               0.006238,               0.006238
                     40,                 1.1852,                0.69641,                 1.1984,                0.99553,                0.94915,                0.96716,                0.58348,                 1.4145,                0.58741,                 1.3199,               0.006139,               0.006139,               0.006139
                     41,                 1.1774,                0.66871,                  1.171,                      1,                0.95859,                0.97068,                0.64384,                 1.2962,                0.59471,                 1.2727,                0.00604,                0.00604,                0.00604
                     42,                 1.1897,                0.70133,                 1.2053,                0.98133,                 0.9322,                0.96287,                0.67997,                 1.1496,                0.54571,                 1.2186,               0.005941,               0.005941,               0.005941
                     43,                 1.1975,                0.69667,                 1.1987,                0.99699,                0.94915,                0.97496,                0.67926,                 1.1551,                0.55316,                 1.2104,               0.005842,               0.005842,               0.005842
                     44,                 1.1613,                0.71996,                 1.1951,                0.99831,                0.94915,                0.96488,                0.59619,                 1.3231,                0.58425,                 1.2591,               0.005743,               0.005743,               0.005743
                     45,                 1.1681,                0.68041,                 1.1666,                0.98238,                0.94518,                 0.9598,                 0.5957,                 1.3061,                 0.5743,                 1.2596,               0.005644,               0.005644,               0.005644
                     46,                 1.1431,                0.69323,                 1.1773,                0.98021,                 0.9322,                 0.9655,                0.61891,                 1.2358,                 0.5644,                 1.2483,               0.005545,               0.005545,               0.005545
                     47,                 1.1438,                0.66382,                 1.1632,                0.99631,                0.94915,                0.96719,                0.63623,                 1.1938,                0.50217,                 1.1986,               0.005446,               0.005446,               0.005446
                     48,                 1.1333,                0.64072,                 1.1257,                 0.9772,                0.94915,                0.95442,                0.63021,                 1.2887,                0.54686,                 1.2582,               0.005347,               0.005347,               0.005347
                     49,                 1.0866,                0.62994,                 1.1358,                0.99768,                 0.9322,                0.95098,                0.59737,                   1.33,                0.57953,                 1.3018,               0.005248,               0.005248,               0.005248
                     50,                 1.0812,                0.61322,                 1.1046,                      1,                0.94664,                0.96493,                0.59945,                 1.4227,                0.59451,                 1.3695,               0.005149,               0.005149,               0.005149
                     51,                 1.1059,                0.65613,                 1.1403,                0.99765,                0.91525,                0.95858,                0.61394,                 1.2952,                0.56583,                 1.2553,                0.00505,                0.00505,                0.00505
                     52,                 1.0839,                0.63025,                 1.1187,                  0.998,                0.86441,                0.93784,                0.59058,                 1.3025,                  0.652,                 1.2872,               0.004951,               0.004951,               0.004951
                     53,                 1.0397,                0.60701,                 1.0952,                0.99284,                 0.9322,                0.96418,                0.53078,                 1.5584,                0.59908,                 1.3922,               0.004852,               0.004852,               0.004852
                     54,                 1.0727,                0.62466,                 1.1151,                      1,                0.94707,                0.96379,                0.65217,                 1.2379,                 0.5609,                 1.2247,               0.004753,               0.004753,               0.004753
                     55,                 1.0567,                0.62493,                 1.1199,                0.97998,                0.94915,                0.96708,                0.59871,                 1.3231,                 0.5798,                 1.2644,               0.004654,               0.004654,               0.004654
                     56,                 1.1057,                0.63069,                 1.1327,                0.98211,                0.93057,                0.95234,                 0.6306,                 1.2202,                0.54167,                 1.2083,               0.004555,               0.004555,               0.004555
                     57,                 1.0205,                0.58613,                 1.0942,                0.98207,                0.92827,                0.94954,                0.66023,                 1.1201,                0.54234,                 1.1869,               0.004456,               0.004456,               0.004456
                     58,                 1.0144,                 0.5898,                 1.0895,                0.98208,                0.92915,                0.96481,                0.67877,                 1.1058,                0.51767,                 1.1638,               0.004357,               0.004357,               0.004357
                     59,                0.98233,                0.54611,                 1.0707,                      1,                0.93107,                0.95235,                0.68798,                 1.0905,                0.51951,                 1.1648,               0.004258,               0.004258,               0.004258
                     60,                 1.0096,                0.60356,                 1.0975,                0.99844,                 0.9322,                0.95096,                0.64218,                 1.2284,                0.56729,                 1.2551,               0.004159,               0.004159,               0.004159
                     61,                 1.0149,                0.59858,                 1.1109,                0.99732,                0.94915,                0.94831,                0.62218,                 1.3066,                0.57107,                 1.2967,                0.00406,                0.00406,                0.00406
                     62,                0.99061,                0.59107,                 1.0991,                0.99915,                0.94915,                0.94917,                0.65403,                 1.1728,                 0.5258,                 1.2142,               0.003961,               0.003961,               0.003961
                     63,                  1.034,                0.60395,                 1.1141,                      1,                 0.9261,                0.94993,                0.67221,                 1.1983,                0.54521,                 1.2156,               0.003862,               0.003862,               0.003862
                     64,                0.98372,                0.58207,                 1.0748,                0.98105,                0.94915,                0.94846,                 0.6623,                 1.1952,                0.57645,                  1.214,               0.003763,               0.003763,               0.003763
                     65,                0.94872,                0.54539,                 1.0598,                0.99676,                0.94915,                  0.965,                0.67125,                 1.1459,                0.53575,                 1.1852,               0.003664,               0.003664,               0.003664
                     66,                0.97405,                0.55896,                 1.0878,                0.99787,                 0.9322,                0.96054,                0.67437,                 1.1141,                0.50497,                 1.1478,               0.003565,               0.003565,               0.003565
                     67,                0.96602,                 0.5608,                 1.0701,                      1,                0.94591,                0.98178,                0.67727,                 1.1188,                0.49515,                 1.1655,               0.003466,               0.003466,               0.003466
                     68,                0.91214,                0.51474,                 1.0519,                      1,                0.94756,                 0.9574,                0.68906,                 1.0634,                0.51507,                  1.145,               0.003367,               0.003367,               0.003367
                     69,                0.93181,                0.53835,                 1.0622,                0.99557,                0.94915,                0.96699,                0.70346,                 1.0751,                0.51264,                 1.1465,               0.003268,               0.003268,               0.003268
                     70,                0.94954,                0.54825,                 1.0791,                      1,                0.94556,                0.95572,                0.71343,                 1.0204,                0.52896,                 1.1414,               0.003169,               0.003169,               0.003169
                     71,                0.93764,                0.52394,                 1.0481,                      1,                0.94846,                0.95365,                0.65905,                 1.1424,                 0.5245,                  1.181,                0.00307,                0.00307,                0.00307
                     72,                0.92597,                0.54396,                 1.0435,                 0.9977,                 0.9322,                0.95973,                0.63771,                  1.277,                0.55631,                 1.2912,               0.002971,               0.002971,               0.002971
                     73,                0.93431,                0.54847,                 1.0788,                0.98045,                 0.9322,                0.95972,                0.64208,                 1.2178,                0.55938,                 1.2405,               0.002872,               0.002872,               0.002872
                     74,                0.91997,                0.53024,                 1.0405,                      1,                0.91232,                0.95537,                0.69496,                  1.038,                0.50273,                 1.1475,               0.002773,               0.002773,               0.002773
                     75,                0.92316,                0.55233,                 1.0434,                0.98245,                0.94874,                 0.9557,                0.65008,                 1.2104,                 0.5153,                 1.2311,               0.002674,               0.002674,               0.002674
                     76,                0.88229,                0.52878,                 1.0567,                      1,                0.94762,                0.96194,                0.63622,                 1.2695,                0.51076,                 1.2357,               0.002575,               0.002575,               0.002575
                     77,                0.87796,                0.51924,                 1.0574,                0.99765,                 0.9322,                 0.9566,                0.67182,                  1.068,                0.50897,                   1.17,               0.002476,               0.002476,               0.002476
                     78,                0.87366,                0.50297,                 1.0231,                      1,                0.94905,                0.95263,                0.68722,                 1.0295,                0.49502,                 1.1446,               0.002377,               0.002377,               0.002377
                     79,                 0.8881,                0.51614,                 1.0417,                0.99734,                0.91525,                0.94935,                0.69956,                 1.0331,                0.48479,                 1.1559,               0.002278,               0.002278,               0.002278
                     80,                0.84783,                0.47024,                 1.0172,                0.99735,                0.91525,                0.94799,                0.64866,                 1.1324,                0.51407,                 1.2073,               0.002179,               0.002179,               0.002179
                     81,                 0.8498,                0.50036,                 1.0241,                0.99896,                 0.9322,                0.95389,                0.65116,                 1.1759,                0.52743,                 1.2293,                0.00208,                0.00208,                0.00208
                     82,                 0.8359,                0.47951,                 1.0016,                      1,                0.94606,                0.95047,                0.67661,                 1.0664,                0.48036,                 1.1623,               0.001981,               0.001981,               0.001981
                     83,                0.79951,                0.46159,                0.99705,                      1,                0.94666,                0.95365,                0.69047,                 0.9738,                0.43661,                 1.1151,               0.001882,               0.001882,               0.001882
                     84,                 0.8077,                0.47642,                0.99425,                      1,                0.94088,                0.95408,                0.70192,                 1.0203,                0.45535,                 1.1263,               0.001783,               0.001783,               0.001783
                     85,                0.82677,                0.49519,                0.99987,                0.99433,                0.94915,                0.95347,                0.71224,                 1.0198,                0.44336,                 1.1277,               0.001684,               0.001684,               0.001684
                     86,                0.81771,                 0.4745,                 1.0013,                  0.998,                0.94915,                0.95126,                0.71274,                 1.0056,                0.46049,                 1.1158,               0.001585,               0.001585,               0.001585
                     87,                0.81801,                0.46937,                 1.0016,                0.99941,                0.94915,                0.95143,                0.70783,                 1.0157,                0.48365,                  1.114,               0.001486,               0.001486,               0.001486
                     88,                0.77432,                0.44783,                0.99137,                0.99502,                0.94915,                0.95225,                0.69522,                 1.0436,                0.48391,                 1.1335,               0.001387,               0.001387,               0.001387
                     89,                0.78357,                0.44482,                0.98409,                      1,                0.93106,                0.95115,                0.68508,                 1.0592,                0.47706,                 1.1477,               0.001288,               0.001288,               0.001288
                     90,                0.65007,                0.34234,                0.98148,                0.99666,                 0.9322,                0.94865,                0.66045,                 1.1319,                0.49266,                 1.2162,               0.001189,               0.001189,               0.001189
                     91,                0.61435,                0.33297,                0.96638,                0.99243,                0.94915,                0.94993,                0.68295,                 1.0352,                0.49501,                  1.166,                0.00109,                0.00109,                0.00109
                     92,                0.60234,                0.32347,                0.95248,                      1,                 0.9322,                 0.9501,                0.67266,                 1.0859,                0.49853,                 1.1972,               0.000991,               0.000991,               0.000991
                     93,                0.61973,                0.32568,                0.96457,                0.99736,                0.94915,                0.95283,                0.69225,                  1.042,                0.48768,                 1.1773,               0.000892,               0.000892,               0.000892
                     94,                0.58797,                0.31212,                0.94949,                0.99379,                0.94915,                 0.9552,                0.71899,                 1.0178,                 0.4843,                 1.1673,               0.000793,               0.000793,               0.000793
                     95,                0.58354,                0.31586,                0.95114,                      1,                0.93009,                0.95366,                0.72041,                0.99739,                0.48403,                 1.1411,               0.000694,               0.000694,               0.000694
                     96,                0.56289,                 0.3085,                0.94033,                0.98245,                0.94871,                 0.9534,                0.70485,                 1.0244,                0.49867,                 1.1536,               0.000595,               0.000595,               0.000595
                     97,                0.59086,                0.31393,                0.94124,                0.99634,                0.94915,                0.95559,                0.71329,                 1.0457,                0.48054,                 1.1683,               0.000496,               0.000496,               0.000496
                     98,                0.55395,                0.30484,                0.93956,                0.99831,                0.94915,                0.95539,                0.70385,                 1.0365,                0.48177,                 1.1618,               0.000397,               0.000397,               0.000397
                     99,                  0.549,                0.30288,                0.92558,                0.99824,                0.94915,                0.95539,                0.70642,                 1.0441,                0.49192,                  1.169,               0.000298,               0.000298,               0.000298
