                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1517,                0.69283,                 1.1453,                0.99838,                0.94915,                0.94613,                0.60101,                 1.2666,                0.59455,                 1.2437,               0.006634,               0.006634,               0.006634
                     36,                 1.1439,                0.68275,                 1.1444,                      1,                0.94782,                0.94781,                0.60462,                 1.2875,                0.59235,                 1.2352,               0.006535,               0.006535,               0.006535
                     37,                 1.0805,                0.67538,                 1.1238,                0.99791,                0.94915,                0.95313,                0.59887,                 1.3477,                0.56678,                 1.2719,               0.006436,               0.006436,               0.006436
                     38,                 1.0734,                0.66899,                 1.1151,                  0.997,                0.94915,                0.94676,                0.61462,                 1.2905,                0.58338,                 1.2262,               0.006337,               0.006337,               0.006337
                     39,                 1.0671,                0.66986,                 1.1262,                0.99671,                0.94915,                0.95018,                 0.6519,                 1.2098,                0.60196,                 1.2142,               0.006238,               0.006238,               0.006238
                     40,                 1.0729,                0.67008,                 1.1115,                0.99804,                0.94915,                0.95484,                0.61943,                 1.2964,                0.62529,                   1.23,               0.006139,               0.006139,               0.006139
                     41,                 1.0783,                0.63845,                 1.1077,                0.99916,                0.94915,                0.95916,                0.65292,                 1.1842,                0.57006,                 1.1766,                0.00604,                0.00604,                0.00604
                     42,                 1.0903,                0.65937,                 1.1216,                0.99806,                 0.9322,                0.94797,                0.65642,                 1.1415,                0.55211,                 1.1447,               0.005941,               0.005941,               0.005941
                     43,                 1.0646,                0.66374,                 1.1135,                0.99954,                0.94915,                0.96249,                0.65608,                 1.1345,                0.53287,                 1.1491,               0.005842,               0.005842,               0.005842
                     44,                 1.0597,                0.65665,                 1.1145,                 0.9967,                0.94915,                0.95223,                0.60878,                 1.2933,                0.58104,                 1.2272,               0.005743,               0.005743,               0.005743
                     45,                 1.0395,                0.62463,                 1.0912,                0.98193,                0.94915,                0.95442,                 0.6207,                 1.2268,                0.57351,                 1.2006,               0.005644,               0.005644,               0.005644
                     46,                 1.0151,                0.64103,                 1.1001,                0.99798,                 0.9322,                0.94824,                0.62378,                  1.277,                0.60681,                 1.2294,               0.005545,               0.005545,               0.005545
                     47,                 1.0258,                0.61502,                 1.0866,                 0.9977,                0.94915,                0.94707,                0.60198,                 1.3054,                0.56441,                 1.2448,               0.005446,               0.005446,               0.005446
                     48,                0.99695,                0.58344,                 1.0625,                0.99995,                0.94915,                0.94728,                0.64232,                 1.2495,                0.57265,                 1.2177,               0.005347,               0.005347,               0.005347
                     49,                0.98205,                0.61726,                 1.0804,                0.99928,                0.94915,                0.94703,                0.64386,                 1.2306,                0.59706,                 1.2192,               0.005248,               0.005248,               0.005248
                     50,                0.96638,                0.60704,                 1.0622,                0.99971,                0.94915,                0.95553,                0.65322,                 1.2355,                0.58064,                 1.2075,               0.005149,               0.005149,               0.005149
                     51,                 1.0382,                 0.6469,                 1.0968,                      1,                0.94717,                0.94865,                0.64496,                 1.2106,                0.54397,                 1.1985,                0.00505,                0.00505,                0.00505
                     52,                0.98225,                0.59554,                 1.0714,                      1,                0.94788,                0.94681,                0.62877,                 1.2305,                0.54733,                 1.2257,               0.004951,               0.004951,               0.004951
                     53,                0.96644,                0.59041,                 1.0744,                0.99824,                0.94915,                0.95226,                0.63242,                 1.2211,                0.54208,                 1.2105,               0.004852,               0.004852,               0.004852
                     54,                0.97717,                0.58718,                 1.0656,                0.99665,                0.94915,                0.95507,                0.63591,                 1.2411,                0.57327,                 1.2114,               0.004753,               0.004753,               0.004753
                     55,                0.94897,                0.57988,                  1.061,                 0.9981,                0.94915,                0.94761,                0.60979,                 1.2893,                0.56543,                 1.2397,               0.004654,               0.004654,               0.004654
                     56,                0.94744,                0.56155,                 1.0485,                  0.999,                0.94915,                0.95344,                0.62527,                 1.2683,                0.59177,                 1.2175,               0.004555,               0.004555,               0.004555
                     57,                0.91923,                0.54989,                 1.0383,                0.99871,                0.94915,                0.94761,                0.63767,                 1.2498,                0.57451,                 1.2095,               0.004456,               0.004456,               0.004456
                     58,                0.93166,                0.56571,                 1.0464,                0.99878,                0.94915,                0.94977,                0.65546,                 1.1887,                0.55936,                 1.1863,               0.004357,               0.004357,               0.004357
                     59,                0.93474,                0.56422,                 1.0552,                0.99742,                 0.9322,                0.94999,                0.63743,                 1.2564,                0.58391,                 1.2199,               0.004258,               0.004258,               0.004258
                     60,                0.88603,                0.52291,                 1.0117,                0.99774,                 0.9322,                0.94703,                0.61572,                 1.2805,                0.55734,                  1.229,               0.004159,               0.004159,               0.004159
                     61,                 0.9141,                0.55624,                 1.0377,                      1,                0.94822,                0.95158,                0.65218,                 1.1901,                 0.5395,                  1.165,                0.00406,                0.00406,                0.00406
                     62,                0.87572,                0.54487,                 1.0379,                0.99881,                0.94915,                0.95092,                0.62689,                 1.2896,                 0.5319,                 1.2193,               0.003961,               0.003961,               0.003961
                     63,                0.90772,                0.55248,                 1.0352,                0.99939,                0.94915,                0.94739,                0.64383,                 1.1651,                0.51617,                 1.1909,               0.003862,               0.003862,               0.003862
                     64,                0.84029,                0.53862,                 1.0085,                      1,                0.94889,                0.94941,                0.64855,                 1.1862,                0.51393,                 1.2144,               0.003763,               0.003763,               0.003763
                     65,                0.87366,                0.53909,                 1.0267,                0.99906,                0.94915,                0.95594,                0.63675,                 1.2327,                0.50279,                 1.2563,               0.003664,               0.003664,               0.003664
                     66,                0.86467,                0.51438,                  1.026,                0.99937,                0.94915,                0.94713,                0.67304,                 1.1076,                0.52173,                 1.1756,               0.003565,               0.003565,               0.003565
                     67,                0.86956,                0.53097,                 1.0212,                0.99934,                0.94915,                0.95072,                0.62886,                 1.2342,                0.55438,                  1.223,               0.003466,               0.003466,               0.003466
                     68,                0.84357,                0.51427,                0.99928,                0.99886,                0.94915,                0.94889,                0.61936,                 1.2469,                0.51598,                 1.2738,               0.003367,               0.003367,               0.003367
                     69,                0.82172,                0.52164,                  1.005,                0.99874,                0.94915,                0.95902,                0.64391,                 1.1992,                0.50732,                 1.2476,               0.003268,               0.003268,               0.003268
                     70,                0.83793,                 0.4994,                 1.0083,                      1,                0.94774,                0.96265,                0.65754,                 1.2236,                0.55066,                 1.2338,               0.003169,               0.003169,               0.003169
                     71,                  0.864,                 0.5253,                 1.0237,                0.99888,                0.94915,                0.96189,                0.66175,                  1.168,                 0.5208,                 1.2059,                0.00307,                0.00307,                0.00307
                     72,                0.82003,                0.51363,                 1.0125,                      1,                0.96485,                0.96745,                0.64366,                 1.2276,                0.50628,                 1.2266,               0.002971,               0.002971,               0.002971
                     73,                0.81482,                0.50829,                 1.0098,                      1,                0.94848,                0.96507,                0.68018,                 1.1474,                0.50645,                 1.1722,               0.002872,               0.002872,               0.002872
                     74,                 0.7949,                0.47211,                0.98504,                0.99865,                0.94915,                0.96661,                0.66218,                 1.1276,                  0.476,                 1.1902,               0.002773,               0.002773,               0.002773
                     75,                0.80101,                0.49828,                0.99839,                 0.9977,                0.94915,                0.96671,                0.65118,                 1.1617,                0.49968,                 1.1876,               0.002674,               0.002674,               0.002674
                     76,                0.78266,                0.48881,                0.99861,                      1,                0.96497,                0.96698,                0.68114,                 1.1006,                0.46778,                 1.1528,               0.002575,               0.002575,               0.002575
                     77,                 0.8004,                0.49535,                 1.0031,                0.99882,                0.94915,                0.96204,                 0.6708,                 1.0802,                0.47179,                 1.1507,               0.002476,               0.002476,               0.002476
                     78,                0.77327,                0.46855,                0.98603,                0.99848,                0.94915,                0.94757,                0.64958,                  1.138,                0.51268,                 1.1866,               0.002377,               0.002377,               0.002377
                     79,                0.77398,                0.47416,                   0.98,                0.99906,                0.94915,                0.94773,                 0.6556,                 1.1204,                0.51088,                 1.1931,               0.002278,               0.002278,               0.002278
                     80,                 0.7626,                0.44371,                0.97831,                 0.9805,                0.94915,                0.94928,                0.63353,                 1.2266,                0.54087,                 1.2338,               0.002179,               0.002179,               0.002179
                     81,                0.78134,                0.45892,                0.99254,                      1,                0.94882,                  0.949,                 0.6379,                 1.1843,                0.52235,                 1.2231,                0.00208,                0.00208,                0.00208
                     82,                0.72374,                0.45244,                0.95382,                0.99988,                0.94915,                0.94994,                 0.6615,                  1.107,                0.50385,                 1.1784,               0.001981,               0.001981,               0.001981
                     83,                 0.7644,                0.45235,                0.97481,                0.99882,                0.94915,                0.95005,                0.66003,                 1.1339,                0.49669,                 1.1901,               0.001882,               0.001882,               0.001882
                     84,                0.75471,                0.46832,                0.97789,                0.99869,                0.94915,                0.95177,                0.67066,                 1.1449,                0.49959,                 1.1603,               0.001783,               0.001783,               0.001783
                     85,                0.71414,                0.45388,                0.97282,                0.99857,                0.94915,                0.95478,                0.67786,                 1.1558,                0.53014,                 1.1582,               0.001684,               0.001684,               0.001684
                     86,                0.69871,                0.44898,                0.94002,                0.99907,                0.94915,                0.95318,                0.67252,                 1.1381,                0.50105,                 1.1641,               0.001585,               0.001585,               0.001585
